order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
206-6766926-9251559,-2.46,2.46,206-6766926-9251559,2.73,0.27
026-7927921-4514734,-2.46,2.46,026-7927921-4514734,2.73,0.27
026-7778405-0523542,-2.46,2.46,026-7778405-0523542,2.73,0.27
026-7353104-1275566,-2.46,2.46,026-7353104-1275566,2.73,0.27
204-7676695-4273930,-2.46,2.46,204-7676695-4273930,2.73,0.27
204-7874815-4983522,-2.46,2.46,204-7874815-4983522,2.73,0.27
203-8742549-6441162,-2.46,2.46,203-8742549-6441162,2.73,0.27
204-8580138-0482758,-2.46,2.46,204-8580138-0482758,2.73,0.27
204-7118542-1803537,-2.46,2.46,204-7118542-1803537,2.73,0.27
026-6427804-5291540,-2.46,2.46,026-6427804-5291540,2.73,0.27
026-6704830-0533922,-2.46,2.46,026-6704830-0533922,2.73,0.27
026-6913307-1715501,-2.46,2.46,026-6913307-1715501,2.73,0.27
204-2672639-9743535,-2.46,2.46,204-2672639-9743535,2.73,0.27
204-2208254-1901146,-2.46,2.46,204-2208254-1901146,2.73,0.27
204-6904050-0630720,-2.46,2.46,204-6904050-0630720,2.73,0.27
204-6873779-5668301,-2.46,2.46,204-6873779-5668301,2.73,0.27
204-1322000-4988363,-2.46,2.46,204-1322000-4988363,2.73,0.27
204-1485782-2512302,-2.46,2.46,204-1485782-2512302,2.73,0.27
026-3989849-9892368,-2.46,2.46,026-3989849-9892368,2.73,0.27
026-4156114-0578767,-2.46,2.46,026-4156114-0578767,2.73,0.27
026-3340214-2178744,-2.46,2.46,026-3340214-2178744,2.73,0.27
026-3087185-1683507,-2.46,2.46,026-3087185-1683507,2.73,0.27
204-6425504-4173127,-2.46,2.46,204-6425504-4173127,2.73,0.27
204-2792430-6793902,-2.46,2.46,204-2792430-6793902,2.73,0.27
026-5076598-8911545,-2.46,2.46,026-5076598-8911545,2.73,0.27
026-5124017-9601953,-2.46,2.46,026-5124017-9601953,2.73,0.27
204-1292188-1697167,-2.46,2.46,204-1292188-1697167,2.73,0.27
204-1221767-9554737,-2.46,2.46,204-1221767-9554737,2.73,0.27
204-5791069-0016308,-2.46,2.46,204-5791069-0016308,2.73,0.27
204-5922459-1407562,-2.46,2.46,204-5922459-1407562,2.73,0.27
204-5579824-9207500,-2.46,2.46,204-5579824-9207500,2.73,0.27
204-5415519-7940327,-2.46,2.46,204-5415519-7940327,2.73,0.27
204-3936789-8713944,-2.46,2.46,204-3936789-8713944,2.73,0.27
204-3541758-7632360,-2.46,2.46,204-3541758-7632360,2.73,0.27
204-3157207-5276319,-2.46,2.46,204-3157207-5276319,2.73,0.27
204-3094795-0092340,-2.46,2.46,204-3094795-0092340,2.73,0.27
204-3091309-9883521,-2.46,2.46,204-3091309-9883521,2.73,0.27
026-0016519-4857923,-2.46,2.46,026-0016519-4857923,2.73,0.27
026-1064066-9092360,-2.46,2.46,026-1064066-9092360,2.73,0.27
026-0685194-3860348,-2.46,2.46,026-0685194-3860348,2.73,0.27
206-6478157-5451535,-34.4,34.4,206-6478157-5451535,34.65,0.25
206-4123867-2178758,-34.4,34.4,206-4123867-2178758,34.65,0.25
026-7635949-6400356,-34.4,34.4,026-7635949-6400356,34.65,0.25
202-1242514-9196310,-34.4,34.4,202-1242514-9196310,34.65,0.25
202-7461177-1832368,-34.4,34.4,202-7461177-1832368,34.65,0.25
202-4932250-6957914,-34.4,34.4,202-4932250-6957914,34.65,0.25
202-5116495-7565931,-34.4,34.4,202-5116495-7565931,34.65,0.25
202-1669017-0865113,-34.4,34.4,202-1669017-0865113,34.65,0.25
202-2101601-1221167,-34.4,34.4,202-2101601-1221167,34.65,0.25
202-6245735-1247567,-34.4,34.4,202-6245735-1247567,34.65,0.25
202-7147799-5673927,-34.4,34.4,202-7147799-5673927,34.65,0.25
202-9885947-1106728,-34.4,34.4,202-9885947-1106728,34.65,0.25
203-9066584-5194759,-34.4,34.4,203-9066584-5194759,34.65,0.25
203-4570846-1793913,-34.4,34.4,203-4570846-1793913,34.65,0.25
203-0829509-8475561,-34.4,34.4,203-0829509-8475561,34.65,0.25
205-4783479-6233958,-34.4,34.4,205-4783479-6233958,34.65,0.25
205-7445313-5564349,-4.51,4.51,205-7445313-5564349,4.29,-0.22
206-7415054-3095554,-4.51,4.51,206-7415054-3095554,4.29,-0.22
203-7888719-4636316,-4.51,4.51,203-7888719-4636316,4.29,-0.22
205-4868050-3152366,-4.51,4.51,205-4868050-3152366,4.29,-0.22
204-1987775-5417147,-4.51,4.51,204-1987775-5417147,4.29,-0.22
026-9870719-6254737,-4.51,4.51,026-9870719-6254737,4.29,-0.22
206-8451464-9279565,-4.51,4.51,206-8451464-9279565,4.29,-0.22
206-7266785-1979506,-4.51,4.51,206-7266785-1979506,4.29,-0.22
205-6191860-8378728,-4.51,4.51,205-6191860-8378728,4.29,-0.22
204-6696915-7620359,-4.58,4.58,204-6696915-7620359,4.79,0.21
206-2928761-8719555,-4.58,4.58,206-2928761-8719555,4.79,0.21
204-8205621-0112353,-9.16,9.16,204-8205621-0112353,9.37,0.21
