sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
3X-EXDD-TD2K,3X-EXDD-TD2K-090925-row861,15,0,15,20.37,09/09/25
A2-T2AC-TW3L,A2-T2AC-TW3L-090925-row860,360,0,360,4.29,09/09/25
RI-VSUS-0YTD,RI-VSUS-0YTD-090925-row859,30,0,30,1.65,09/09/25
WE-1Z7L-SA2I,WE-1Z7L-SA2I-090925-row858,39,0,39,1.65,09/09/25
R7-98IN-2PW8,R7-98IN-2PW8-090925-row857,291,0,291,2.5,09/09/25
IM-AYXV-79NJ,IM-AYXV-79NJ-090925-row856,30,0,30,2.25,09/09/25
ZV-RLOD-Q0JI,ZV-RLOD-Q0JI-090925-row853,10,0,10,7.55,09/09/25
DC-K5WH-R7F5,DC-K5WH-R7F5-090925-row850,560,0,560,0.63,09/09/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y-090925-row849,109,0,109,1.26,09/09/25
LF-X542-9TDZ,LF-X542-9TDZ-090925-row848,10,0,10,7.74,09/09/25
UL-D0Y8-ZNI5,UL-D0Y8-ZNI5-090925-row847,10,0,10,19.5,09/09/25
8M-NHB7-T8TR,8M-NHB7-T8TR-090925-row846,24,0,24,11.57,09/09/25
MW-1ILH-TLS4,MW-1ILH-TLS4-090925-row845,12,0,12,5.43,09/09/25
YO-EKK2-FRCC,YO-EKK2-FRCC-090925-row844,10,0,10,2.38,09/09/25
D1-LSS7-93U8,D1-LSS7-93U8-090925-row843,12,0,12,2.01,09/09/25
7H-7G2P-ONWJ,7H-7G2P-ONWJ-090925-row842,28,0,28,0.88,09/09/25
LV-425G-BY4X,LV-425G-BY4X-090925-row841,52,0,52,16.38,09/09/25
714810,714810-260825-row839,12,0,12,1.34,26/08/25
714776,714776-260825-row838,8,0,8,1.21,26/08/25
FD-R7YW-X0GH,FD-R7YW-X0GH-250825-row837,12,0,12,1.98,25/08/25
PY-XV78-3OG5,PY-XV78-3OG5-260825-row836,2,0,2,20.34,26/08/25
HY-T1P7-038S,HY-T1P7-038S-270825-row835,4,0,4,21.99,27/08/25
OT-3LZR-3R6K,OT-3LZR-3R6K-270825-row834,8,0,8,9.5,27/08/25
1U-1W76-M840,1U-1W76-M840-270825-row833,48,0,48,0.76,27/08/25
GJ-2OZK-0GCA,GJ-2OZK-0GCA-260825-row830,12,0,12,17.5,26/08/25
0G-JB6S-PN34,0G-JB6S-PN34-260825-row829,24,0,24,2.74,26/08/25
2L-M26G-560I,2L-M26G-560I-260825-row828,6,0,6,13.52,26/08/25
L5-PF3B-WHU4,L5-PF3B-WHU4-260825-row827,17,0,17,17.5,26/08/25
8R-E0Y9-0LAU,8R-E0Y9-0LAU-260825-row826,8,0,8,34.4,26/08/25
DV-USYD-8WR2,DV-USYD-8WR2-260825-row825,1,0,1,20.33,26/08/25
IB-U5FA-BO2Y,IB-U5FA-BO2Y-260825-row824,4,0,4,20.33,26/08/25
L1-54EX-56YC,L1-54EX-56YC-260825-row823,24,0,24,5.35,26/08/25
T8-6UWL-I3E1,T8-6UWL-I3E1-260825-row822,280,0,280,1.48,26/08/25
X7-MY4W-H2I4,X7-MY4W-H2I4-260825-row821,12,0,12,2.28,26/08/25
0H-5V53-GPG4,0H-5V53-GPG4-250825-row820,100,0,100,4.85,25/08/25
SR-6OBB-WC03,SR-6OBB-WC03-250825-row819,120,0,120,2.86,25/08/25
BB-ZT14-1QQA,BB-ZT14-1QQA-250825-row818,35,0,35,3.19,25/08/25
