Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
06/08/2026,X00208SK8H,B08KFFY86W,VF-3T0K-DR5O,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",WhseTransfers,,1,CWL1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00208SK8H,B08KFFY86W,VF-3T0K-DR5O,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between the Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",Shipments,,-1,BRS2,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X001XQKWXX,B006PFN3BW,A2-T2AC-TW3L,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,Shipments,,-2,XLP1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/07/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,LCY2,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,DSA6,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,DSA6,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X002AFHBLH,B00IUKPVYM,AK-OB6V-HIYD,Price's Petali Brand Scented Tealights | 25 Pack Tealights 4 Hour Burn Time | Available in Multiple Scents (Rose),Shipments,,-1,BRS2,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN3,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN1,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X0028A4SUV,B00LXM3PGK,HS-R5IP-7E1C,SupaDec Sugar Soap 500ml,Shipments,,-1,MAN3,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
06/07/2026,X0028A4OZZ,B016Y8SWZQ,8L-INBX-OUTU,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",Shipments,,-1,MAN2,SELLABLE,,GB,,,2026-06-07T01:00:00+0100
